artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
Old & In The Way,Breakdown,Working On A Building,21,155733,False,0.524,0.238,9,-17.01,1,0.0426,0.892,0.0148,0.713,0.641,98.942,4,bluegrass
Old & In The Way,Breakdown,Working On A Building,21,155733,False,0.524,0.238,9,-17.01,1,0.0426,0.892,0.0148,0.713,0.641,98.942,4,bluegrass
Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
Ella Fitzgerald,CHRISTMAS TOP HITS 2022,Frosty The Snowman,0,131733,False,0.579,0.502,8,-7.57,1,0.0513,0.733,0.0,0.281,0.836,76.783,4,blues
Atlanta Rhythm Section,Best 70s Rock Tunes,Beautiful Dreamer,0,206133,False,0.433,0.264,2,-16.176,1,0.0346,0.64,0.00275,0.286,0.257,124.987,4,blues
Atlanta Rhythm Section,Best 70s Rock Tunes,Beautiful Dreamer,0,206133,False,0.433,0.264,2,-16.176,1,0.0346,0.64,0.00275,0.286,0.257,124.987,4,blues
Atlanta Rhythm Section,Best 70s Rock Tunes,Beautiful Dreamer,0,206133,False,0.433,0.264,2,-16.176,1,0.0346,0.64,0.00275,0.286,0.257,124.987,4,blues
Fats Domino,The Fats Domino Jukebox: 20 Greatest Hits The Way You Originally Heard Them,Let The Four Winds Blow - Remastered 2002,32,138693,False,0.588,0.494,10,-10.687,1,0.0525,0.535,0.0155,0.0942,0.964,91.964,4,blues
Fats Domino,The Fats Domino Jukebox: 20 Greatest Hits The Way You Originally Heard Them,Let The Four Winds Blow - Remastered 2002,32,138693,False,0.588,0.494,10,-10.687,1,0.0525,0.535,0.0155,0.0942,0.964,91.964,4,blues
Wishbone Ash,Best 70s Rock Tunes,Ships In The Sky,0,179666,False,0.419,0.289,7,-12.532,0,0.0283,0.134,0.000757,0.174,0.236,143.901,3,blues
Wishbone Ash,Best 70s Rock Tunes,Ships In The Sky,0,179666,False,0.419,0.289,7,-12.532,0,0.0283,0.134,0.000757,0.174,0.236,143.901,3,blues
509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,brazil
509-E;Dexter;Afro-X,Provérbios 13,Saudades Mil,48,526026,True,0.624,0.589,2,-6.669,1,0.281,0.302,0.0,0.124,0.78,76.847,4,brazil
Padre Fábio De Melo,Queremos Deus,Espírito Santo Repousa / Faço Novas Todas as Coisas,43,467000,False,0.276,0.576,0,-8.672,1,0.0389,0.582,0.0,0.636,0.24,139.751,4,brazil
Padre Fábio De Melo,Queremos Deus,Espírito Santo Repousa / Faço Novas Todas as Coisas,43,467000,False,0.276,0.576,0,-8.672,1,0.0389,0.582,0.0,0.636,0.24,139.751,4,brazil
The Chemical Brothers,Brotherhood,Electronic Battle Weapon 9,12,400866,False,0.722,0.944,10,-5.071,0,0.0481,0.0262,0.782,0.352,0.327,126.971,4,breakbeat
The Chemical Brothers,Brotherhood,Electronic Battle Weapon 9,12,400866,False,0.722,0.944,10,-5.071,0,0.0481,0.0262,0.782,0.352,0.327,126.971,4,breakbeat
Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat
Timo Maas,Crossing Wires 002 - Compiled And Mixed By Timo Maas,Crossing Wires 002 - Continuous DJ Mix,11,4789026,False,0.697,0.632,1,-12.469,1,0.0451,0.00815,0.871,0.0998,0.151,121.055,4,breakbeat
YUNGBLUD,Halloween Party 2022,The Funeral,0,211197,True,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538,4,british
YUNGBLUD,Halloween Party 2022,The Funeral,0,211197,True,0.576,0.869,7,-4.339,1,0.0339,8.57e-05,7.1e-05,0.0573,0.746,92.538,4,british
Wishbone Ash,Best 70s Rock Tunes,Ships In The Sky,0,179666,False,0.419,0.289,7,-12.532,0,0.0283,0.134,0.000757,0.174,0.236,143.901,3,british
Wishbone Ash,Best 70s Rock Tunes,Ships In The Sky,0,179666,False,0.419,0.289,7,-12.532,0,0.0283,0.134,0.000757,0.174,0.236,143.901,3,british
Leon Lai,黎明電影主題曲歌集,"甜蜜蜜 - 電影""甜蜜蜜""主題曲",20,201040,False,0.555,0.348,4,-15.245,1,0.0294,0.78,0.00137,0.115,0.566,138.087,4,cantopop
Leon Lai,黎明電影主題曲歌集,"甜蜜蜜 - 電影""甜蜜蜜""主題曲",20,201040,False,0.555,0.348,4,-15.245,1,0.0294,0.78,0.00137,0.115,0.566,138.087,4,cantopop
Paul Johnson,The Music In Me,Y All Stole Them Dances - Original Mix,10,319352,False,0.804,0.851,11,-9.786,0,0.145,0.00101,0.0107,0.261,0.607,132.813,4,chicago-house
Paul Johnson,The Music In Me,Y All Stole Them Dances - Original Mix,10,319352,False,0.804,0.851,11,-9.786,0,0.145,0.00101,0.0107,0.261,0.607,132.813,4,chicago-house
Aaron Smith;Luvli,Dancin,Dancin - Laidback Luke Remix,20,381395,False,0.664,0.848,6,-2.382,1,0.162,0.0759,0.0332,0.106,0.359,129.056,4,chicago-house
Aaron Smith;Luvli,Dancin,Dancin - Laidback Luke Remix,20,381395,False,0.664,0.848,6,-2.382,1,0.162,0.0759,0.0332,0.106,0.359,129.056,4,chicago-house
VeggieTales,Oh Santa! Kids Christmas Songs,Feliz Navidad,0,185493,False,0.707,0.506,0,-9.218,1,0.175,0.48,0.000114,0.0491,0.924,157.755,4,children
VeggieTales,Oh Santa! Kids Christmas Songs,Feliz Navidad,0,185493,False,0.707,0.506,0,-9.218,1,0.175,0.48,0.000114,0.0491,0.924,157.755,4,children
The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),"Theme from ""The Addams Family""",0,84000,False,0.717,0.673,5,-4.645,1,0.251,0.801,0.0161,0.0214,0.963,60.799,4,children
The Countdown Kids,Happy Halloween! (Spooky Favorites for Kids),"Theme from ""The Addams Family""",0,84000,False,0.717,0.673,5,-4.645,1,0.251,0.801,0.0161,0.0214,0.963,60.799,4,children
Pink Sweat$,Coffee Chill,I Feel Good,0,136058,False,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4,chill
Pink Sweat$,Coffee Chill,I Feel Good,0,136058,False,0.803,0.75,11,-4.67,1,0.0551,0.0233,3.87e-05,0.045,0.628,106.0,4,chill
Johann Sebastian Bach;RIMA,Early Morning Classic,Bach : The Well-Tempered Clavier Book I. Fugue No.2,1,93340,False,0.372,0.0413,0,-31.531,0,0.0339,0.995,0.845,0.129,0.445,170.196,3,classical
Johann Sebastian Bach;Lang Lang,Classical Christmas 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
Johann Sebastian Bach;Gundula Janowitz;Christa Ludwig;Fritz Wunderlich;Münchener Bach-Orchester;Karl Richter,Classical Christmas 2022,"Christmas Oratorio, BWV 248 / Pt. 5 - For the 1st Sunday in the New Year: No. 51 Terzetto: ""Ach, wann wird die Zeit erscheinen?""",0,320173,False,0.343,0.243,11,-15.404,0,0.0578,0.943,0.0,0.532,0.417,73.48,4,classical
Johann Sebastian Bach;Orion Weiss,Yarlung Records: Fifteen Years,"Overture in the French Style, Op. 2, BWV 831 (Excerpts): XI. Echo",0,176963,False,0.522,0.215,11,-21.148,0,0.0655,0.992,0.912,0.0971,0.934,103.767,4,classical
Johann Sebastian Bach;Lang Lang,Weihnachten Klassik 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
Johann Sebastian Bach;Boston Pops Orchestra;Arthur Fiedler,Weihnachten Klassik 2022,"Herz und Mund und Tat und Leben, Cantata BWV 147 - Arr. Robert Bockholt: Jesu Joy of Men's Desiring",0,204666,False,0.138,0.173,7,-17.603,1,0.0371,0.955,0.928,0.161,0.159,100.657,4,classical
Johann Sebastian Bach;RIMA,Early Morning Classic,Bach : The Well-Tempered Clavier Book I. Fugue No.2,1,93340,False,0.372,0.0413,0,-31.531,0,0.0339,0.995,0.845,0.129,0.445,170.196,3,classical
Ludwig van Beethoven;Murray Perahia,Clásica para los niños de hoy,"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",0,316440,False,0.146,0.00241,1,-40.843,0,0.0434,0.995,0.945,0.113,0.0973,166.462,3,classical
Ludwig van Beethoven;Wiener Philharmoniker;Andris Nelsons,Classical Running,"Symphony No. 6 in F Major, Op. 68 ""Pastoral"": III. Lustiges Zusammensein der Landleute. Allegro",0,308240,False,0.283,0.139,5,-18.546,1,0.0476,0.931,0.841,0.54,0.334,158.524,1,classical
Johann Sebastian Bach;Lang Lang,Classical Christmas 2022,"Christmas Oratorio, BWV 248: X. Sinfonia (Arr. Anna Saradjian)",0,157400,False,0.499,0.059,7,-20.969,1,0.0546,0.995,0.89,0.0889,0.171,82.472,4,classical
